name	type	start_value	stop_value
reverb_mix	range	0	1
echo_mix	range	0	1
compressor_mix	range	0	1
whammy_mix	range	0	1
rlpf_mix	range	0	1
distortion_mix	range	0	1
octaver_mix	range	0	1
flanger_mix	range	0	1
reverb_room	range	0	1
reverb_damp	range	0	1
echo_phase	range	0.1	10
echo_decay	range	0.1	10
echo_max_phase	range	0.1	10
compressor_threshold	range	0	10
compressor_clamp_time	range	0	10
compressor_slope_above	range	0	10
compressor_slope_below	range	0	10
compressor_relax_time	range	0	10
whammy_transpose	range	0	24
whammy_max_delay_time	range	0	10
whammy_deltime	range	0	2
whammy_grainsize	range	0	2
rlpf_cutoff	range	0	100
rlpf_res	range	0	1
distortion_distort	range	0	0.99
flanger_phase	range	0.1	10
flanger_pulse_flanger_width	range	0	1
flanger_delay	range	0	10
flanger_depth	range	0	10
flanger_decay	range	0	10
flanger_feedback	range	0	10
