name	type	start_value	stop_value
mix	value	0	1
room	value	0	1
damp	value	0	1
Phase	value	0.1	10
Decay	value	0.1	10
max_phase	value	0.1	10
Threshold	value	0	10
clamp_time	value	0	10
slope_above	value	0	10
slope_below	value	0	10
relax_time	value	0	10
transpose	value	0	24
max_delay_time	value	0	10
deltime	value	0	2
grainsize	value	0	2
cutoff	value	0	100
resonance	value	0	1
distort	value	0	0.99
Phase	value	0.1	10
pulse_width	value	0	1
delay	value	0	10
depth	value	0	10
decay	value	0	10
feedback	value	0	10
